,low,high,open,close,volume,nbdi
2016-11-11,702.42,716.99,716.56,704.53,3130.22057213,115.9375
2016-11-12,685.7,705.94,704.63,704.01,4207.77586806,115.9375
2016-11-13,695.07,708.57,704.01,708.32,4818.75334881,115.9375
2016-11-14,671.23,716.3,708.4,712.29,4793.81248351,117.2245
2016-11-15,710.0,743.8,711.92,739.85,6194.50292689,116.7724
2016-11-16,729.01,750.01,738.07,730.71,4171.50353425,116.8062
2016-11-17,728.89,751.0,729.61,748.54,4633.63714554,116.8952
2016-11-18,738.0,752.3,748.55,750.77,2953.71110824,117.5936
2016-11-19,715.0,753.81,750.77,731.99,4322.12503603,117.5936
2016-11-20,730.0,738.47,731.72,736.4,2984.94365792,117.5936
2016-11-21,726.38,748.77,736.39,746.66,4276.8415765,117.4762
2016-11-22,734.0,747.12,746.66,741.52,3626.95652139,117.4508
2016-11-23,727.0,743.99,741.51,737.99,3472.6009038,118.0356
2016-11-24,729.0,739.99,737.99,739.74,3157.80610663,118.0356
2016-11-25,726.0,739.98,739.51,735.7,2706.77529551,118.02
2016-11-26,728.01,737.95,735.69,729.24,2682.66166264,118.02
2016-11-27,729.0,736.44,729.24,729.77,3864.89359081,118.02
2016-11-28,728.2,734.36,730.18,732.37,3807.46258906,117.7278
2016-11-29,729.17,745.0,732.44,742.69,3949.90287585,117.644
2016-11-30,741.59,754.9,742.51,754.0,4190.18991165,117.7636
2016-12-01,753.53,780.0,754.0,769.25,6041.03445262,117.6642
2016-12-02,759.0,771.92,769.78,766.98,3180.08205342,117.3116
2016-12-03,762.83,769.76,766.86,767.99,2759.91257043,117.3116
2016-12-04,748.6,767.99,767.94,752.0,4823.73102661,117.3116
2016-12-05,752.0,761.58,752.01,759.8,4499.07355133,117.1008
2016-12-06,750.26,768.9,759.93,764.34,4572.32014076,116.9225
2016-12-07,761.71,772.82,764.34,767.89,4839.32827769,116.672
2016-12-08,765.97,773.22,767.9,773.22,3932.49789277,117.0327
2016-12-09,770.0,776.99,773.15,775.87,3365.89926147,117.2834
2016-12-10,765.0,776.08,776.05,771.05,3105.09201254,117.2834
2016-12-11,770.88,782.0,771.05,778.94,4390.03689871,117.2834
2016-12-12,772.76,790.34,779.26,776.18,5414.74074479,116.9161
2016-12-13,773.2,781.8,776.65,777.66,4486.58460305,116.8029
2016-12-14,775.0,780.0,777.66,776.16,5927.48786136,116.7332
2016-12-15,774.8,785.0,776.16,780.98,5719.66238907,118.8072
2016-12-16,779.5,791.97,780.85,788.57,4364.33037091,118.3584
2016-12-17,787.19,791.96,788.98,790.72,2847.04584842,118.3584
2016-12-18,789.0,794.99,790.71,790.81,5496.38381127,118.3584
2016-12-19,788.58,799.21,791.0,798.99,5925.20060127,118.3875
2016-12-20,798.88,834.5,798.98,834.5,8442.94664959,118.63
2016-12-21,832.38,875.75,834.15,856.02,8778.21064087,118.581
2016-12-22,855.45,918.5,856.45,917.26,12735.18421092,118.8209
2016-12-23,880.1,918.19,917.28,891.5,6458.02976682,118.7856
2016-12-24,851.11,897.4,891.59,896.12,5380.14745659,118.7856
2016-12-25,890.0,908.24,895.94,902.09,3297.92235509,118.7856
2016-12-26,895.0,943.36,902.08,925.2,6719.94923102,118.7856
2016-12-27,923.95,983.46,925.28,982.17,9792.34683129,118.9506
2016-12-28,950.5,988.88,982.25,970.72,8997.85901622,119.2305
2016-12-29,930.3,970.51,970.51,960.81,7945.76302017,118.6637
2016-12-30,949.0,973.37,961.52,973.37,3837.28788592,118.3466
2016-12-31,964.37,1000.0,973.37,992.95,4421.50288283,118.3466
2017-01-01,990.52,1034.39,992.96,1011.45,7723.63575162,118.3466
2017-01-02,1006.71,1036.99,1011.52,1020.67,8615.26005814,118.3466
2017-01-03,1018.0,1147.0,1020.69,1130.3,16222.23026666,119.0903
2017-01-04,880.0,1175.0,1131.1,1007.0,20446.40561546,118.8803
2017-01-05,875.01,1033.85,1007.0,895.71,14274.25920626,117.9999
2017-01-06,802.07,910.0,895.78,909.0,11217.17862761,118.3495
2017-01-07,899.16,953.8,908.99,923.33,5410.00349909,118.3495
2017-01-08,886.42,923.58,922.04,902.66,5909.57812167,118.3495
2017-01-09,899.01,915.1,902.66,907.0,7226.04044665,118.4111
2017-01-10,765.0,923.98,906.81,795.77,19443.63528428,118.5386
2017-01-11,734.64,840.0,795.8,812.25,13200.46287512,119.0219
2017-01-12,782.85,835.01,812.25,831.42,10492.67371002,117.8001
2017-01-13,822.34,847.52,831.42,828.0,4774.33377561,117.9884
2017-01-14,819.0,835.0,828.0,833.31,2941.91504862,117.9884
2017-01-15,826.03,840.0,833.43,834.41,3428.89193045,117.9884
2017-01-16,830.1,909.0,834.4,906.0,7253.4885706,117.9884
2017-01-17,850.0,916.7,906.09,887.99,6937.98652365,117.2656
2017-01-18,883.08,907.0,887.98,902.92,5070.18463001,117.7242
2017-01-19,890.0,904.59,902.92,894.31,3110.58974194,118.3182
2017-01-20,891.28,930.0,894.31,925.06,4666.66088887,118.3182
2017-01-21,902.0,946.25,925.06,931.22,5044.15354801,118.3182
2017-01-22,910.63,931.33,929.45,910.7,4142.93227389,118.3182
2017-01-23,880.0,923.0,911.78,887.0,6401.73515269,117.2479
2017-01-24,886.99,903.98,887.0,896.0,4535.10457614,117.0516
2017-01-25,896.0,921.95,896.75,917.02,4718.08253344,116.9355
2017-01-26,911.0,924.47,917.02,922.63,3719.06548579,117.2766
2017-01-27,921.81,925.5,922.89,924.98,2634.53799739,117.0735
