date,close,volume,nbdi
2018-09-13,6478.04,7691.81053625,113.9264
2018-09-14,6518.68,3404.11751484,114.0654
2018-09-15,6498.0,3520.8035532,114.0654
2018-09-16,6250.7,9335.4497769,114.0654
2018-09-17,6335.7,6137.36794174,113.9154
2018-09-18,6386.94,10754.09693733,113.7735
2018-09-19,6493.11,6819.60351487,113.6528
2018-09-20,6750.0,11391.70322303,113.4986
2018-09-21,6707.33,5315.7868296,113.5097
2018-09-22,6696.99,3506.51220124,113.5097
2018-09-23,6582.09,5562.20172954,113.5097
2018-09-24,6436.89,9533.99965627,113.53
2018-09-25,6455.66,5910.04399306,113.7203
2018-09-26,6680.01,7878.87406105,113.6738
2018-09-27,6620.01,9039.12902254,113.9782
2018-09-28,6581.0,4371.91544933,113.8072
2018-09-29,6605.0,3698.72106704,113.8072
2018-09-30,6572.83,7146.81077109,113.8072
2018-10-01,6498.46,5444.03636431,113.8227
2018-10-02,6466.03,6264.41952033,113.8946
2018-10-03,6547.45,6676.80282302,114.1559
2018-10-04,6593.94,5347.26443214,114.6857
2018-10-05,6552.43,2725.25647489,114.5599
2018-10-06,6570.0,2625.49820988,114.5599
2018-10-07,6608.07,5447.87548657,114.5599
2018-10-08,6589.48,4580.90974272,114.5599
2018-10-09,6524.56,6387.67198644,114.6568
2018-10-10,6154.69,20730.76349424,114.6059
2018-10-11,6188.01,5574.64739116,114.4062
2018-10-12,6196.0,3842.85929097,114.368
2018-10-13,6183.49,3763.1183462,114.368
2018-10-14,6440.42,21436.33656382,114.368
2018-10-15,6457.11,10080.9913573,114.044
2018-10-16,6443.7,5507.26662058,113.8952
2018-10-17,6394.96,7212.21394135,114.1743
2018-10-18,6382.99,3816.48535963,114.8152
2018-10-19,6414.0,3425.84267768,114.8557
2018-10-20,6415.88,2611.79072657,114.8557
2018-10-21,6407.65,4004.82602681,114.8557
2018-10-22,6395.14,4036.62569307,115.1772
2018-10-23,6415.98,5193.91688879,115.1641
2018-10-24,6395.58,3747.24490173,115.3743
2018-10-25,6404.87,4134.91005811,115.4818
2018-10-26,6409.12,2332.79150241,115.4717
2018-10-27,6403.62,2142.01330512,115.4717
2018-10-28,6266.0,6986.99576529,115.4717
2018-10-29,6267.63,4101.07125232,115.8925
2018-10-30,6304.18,5229.24512215,116.2346
2018-10-31,6344.0,4490.97798078,116.5268
2018-11-01,6349.8,4182.90368781,115.8643
2018-11-02,6331.96,2572.93306167,115.6415
2018-11-03,6423.28,4055.76910661,115.6415
2018-11-04,6404.0,4088.66689308,115.6415
2018-11-05,6448.5,5512.34724778,115.7015
2018-11-06,6503.12,5832.93617972,115.5607
2018-11-07,6406.24,5335.81077269,115.2505
2018-11-08,6334.89,4588.21636599,115.6463
2018-11-09,6347.42,2421.62395944,116.4762
2018-11-10,6357.6,2363.52860474,116.4762
2018-11-11,6327.87,3731.22277403,116.4762
2018-11-12,6259.34,4686.91466432,116.4762
2018-11-13,5605.46,32734.2371058,116.6676
2018-11-14,5579.52,21893.75591627,116.4964
2018-11-15,5512.24,9359.82281671,116.3849
2018-11-16,5504.17,4784.39720845,115.9246
2018-11-17,5560.0,4724.53451302,115.9246
2018-11-18,4733.5,41591.922304,115.9246
2018-11-19,4349.23,66596.87804572,115.985
2018-11-20,4545.11,28516.37041797,116.2357
2018-11-21,4265.36,13038.24058241,116.0911
2018-11-22,4283.8,19589.94093581,116.0911
2018-11-23,3774.99,22955.31007799,116.4703
2018-11-24,3936.69,39067.0408264,116.4703
2018-11-25,3731.32,36455.22367637,116.4703
2018-11-26,3775.0,23788.7518536,116.6198
2018-11-27,4225.03,35951.14939353,116.8991
2018-11-28,4248.0,20589.29919427,116.8333
2018-11-29,3976.0,20010.38688175,116.1954
2018-11-30,4142.01,10546.5152018,116.4121
2018-12-01,4103.19,11311.33063575,116.4121
2018-12-02,3833.47,17040.92435324,116.4121
2018-12-03,3901.84,16954.8572436,115.9046
2018-12-04,3694.39,14945.0424373,116.0015
2018-12-05,3433.26,28942.88212469,116.0015
2018-12-06,3380.01,37833.3063615,116.3983
2018-12-07,3401.0,13700.64053347,116.0839
2018-12-08,3531.18,11758.12530578,116.0839
2018-12-09,3410.15,13513.91205579,116.0839
2018-12-10,3349.36,11090.98128121,116.6739
2018-12-11,3430.24,10524.18793316,116.7556
2018-12-12,3265.0,14265.2612416,116.2205
2018-12-13,3195.71,14656.53845193,116.3967
2018-12-14,3183.0,9343.27239692,116.7891
2018-12-15,3195.0,7211.24213116,116.7891
2018-12-16,3496.82,21857.11842817,116.7891
2018-12-17,3667.77,16980.16942551,116.4524
2018-12-18,3682.51,28456.24369309,116.4122
2018-12-19,4075.34,30698.00488972,116.0672
2018-12-20,3839.06,23496.86262526,116.0179
2018-12-21,3980.46,9902.76761597,116.2221
2018-12-22,3944.93,10282.4571108,116.2221
2018-12-23,4034.0,19713.64189269,116.2221
2018-12-24,3780.0,13871.75447137,116.2177
2018-12-25,3809.88,9409.62555727,116.2177
2018-12-26,3589.89,13433.23545408,116.1156
2018-12-27,3888.06,16776.66567306,115.9922
2018-12-28,3729.31,9781.01832186,115.7226
2018-12-29,3829.0,8725.83851536,115.7226
2018-12-30,3691.86,12799.94262556,115.7226
2018-12-31,3826.1,10812.88498825,115.5667
2019-01-01,3890.79,9982.47084577,115.5667
2019-01-02,3787.57,9327.64708895,115.7676
2019-01-03,3820.82,9225.1505004,115.4611
2019-01-04,3798.62,6451.00775001,114.9813
2019-01-05,4040.99,10057.45367318,114.9813
2019-01-06,4006.01,9973.66538481,114.9813
2019-01-07,3993.86,13959.39645383,114.5621
2019-01-08,4004.12,10704.12810583,114.7272
2019-01-09,3626.12,21869.18380217,114.1394
2019-01-10,3635.69,14489.68866805,114.048
2019-01-11,3619.41,5793.59903748,114.0383
2019-01-12,3514.24,8288.70074802,114.0383
2019-01-13,3664.19,11241.43679748,114.0383
2019-01-14,3580.76,10894.51487451,114.0383
2019-01-15,3609.71,8894.45981244,114.3374
2019-01-16,3640.65,8924.86466717,114.1341
2019-01-17,3607.85,5977.23699338,114.4087
2019-01-18,3682.65,6068.64620532,114.5555
