day,low,high,open,close,volume
2022-05-20,28913.26,29613.34,29155.74,29408.26,9998.48360206
2022-05-19,28690.92,30729.83,30274.59,29155.75,34328.18791921
2022-05-18,28645.2,30500.0,28671.5,30274.59,29009.9710577
2022-05-17,28605.0,30675.92,30412.1,28672.94,28348.42643576
2022-05-16,29415.01,30750.0,29839.89,30412.12,19833.30676705
2022-05-15,29055.0,31293.31,31290.02,29839.89,22646.18507353
2022-05-14,29436.06,31418.35,30041.9,31290.05,16440.89298551
2022-05-13,28564.38,30287.58,29234.73,30041.88,15245.46818403
2022-05-12,28662.7,30990.0,28941.95,29232.18,34643.05118869
2022-05-11,25338.53,30091.2,28977.75,28941.95,70702.60931849
2022-05-10,27682.38,32185.9,31002.39,28972.34,61128.25296303
2022-05-09,29735.05,32645.49,30078.27,31002.39,55818.01900282
2022-05-08,30010.0,34231.54,34033.49,30078.27,55136.45332765
2022-05-07,33701.0,35499.93,35458.0,34027.91,22357.51152059
2022-05-06,34785.0,36125.0,35999.1,35458.0,11372.45319184
2022-05-05,35255.4,36664.4,36537.22,35999.1,28626.6487821
2022-05-04,35568.0,39864.55,39669.56,36537.22,28832.99792317
2022-05-03,37651.38,40038.27,37719.58,39669.56,21513.95419034
2022-05-02,37505.01,38643.48,38510.88,37719.59,17946.99450089
2022-05-01,38041.0,39181.27,38469.49,38510.89,17946.98346298
2022-04-30,37401.0,38675.37,37640.35,38473.05,7980.89975954
2022-04-29,37590.0,38795.0,38592.27,37644.1,6931.07200088
2022-04-28,38161.85,39926.8,39741.21,38593.1,14282.25993546
2022-04-27,38883.83,40400.0,39251.02,39743.22,16718.83057299
2022-04-26,37882.83,39470.0,38118.43,39251.11,20832.19649199
2022-04-25,37700.0,40817.16,40440.9,38113.82,21648.1142493
2022-04-24,38210.24,40605.3,39463.75,40439.22,20515.87532995
2022-04-23,39000.0,39945.74,39459.63,39464.56,6436.45656858
2022-04-22,39296.19,39993.82,39712.2,39465.87,6957.16710365
2022-04-21,39174.8,40802.65,40483.38,39712.25,16871.32104798
2022-04-20,39744.75,43109.47,41371.88,40480.81,17204.35326683
2022-04-19,40900.0,42209.58,41501.56,41377.61,14609.28392672
2022-04-18,40571.99,41772.94,40810.87,41503.85,10218.113707
2022-04-17,38550.0,41100.0,39681.11,40803.58,13090.79423386
2022-04-16,39553.07,40605.46,40387.6,39683.54,4833.31493601
2022-04-15,40005.0,40699.99,40554.6,40387.6,4084.16565112
2022-04-14,39770.22,40850.0,39953.62,40554.58,6448.01134712
2022-04-13,39573.8,41512.43,41147.15,39954.08,11020.37202049
2022-04-12,39550.0,41570.88,40086.7,41146.68,11457.63380548
2022-04-11,39250.0,40705.68,39535.88,40086.23,13866.41847396
2022-04-10,39204.59,42424.14,42165.96,39535.87,17229.3729009
2022-04-09,41885.86,43443.32,42766.46,42165.96,5770.49368126
2022-04-08,42118.96,42816.38,42261.9,42766.93,4805.71689778
2022-04-07,42112.0,44000.0,43444.71,42262.02,11929.52123708
2022-04-06,42734.69,43908.58,43166.71,43452.18,13245.36612438
2022-04-05,43115.26,45523.25,45509.92,43166.7,24250.37283725
2022-04-04,45371.16,47200.0,46594.39,45506.5,14390.57308541
2022-04-03,45129.93,46900.0,46420.08,46596.83,13802.44111729
2022-04-02,45552.07,47469.4,45826.24,46422.16,8773.77185888
2022-04-01,45642.89,47219.46,46296.36,45826.27,8380.14274375
2022-03-31,44232.86,46739.24,45525.25,46296.34,18111.13598043
2022-03-30,45211.0,47624.09,47078.02,45528.45,17454.79144251
2022-03-29,46544.89,47717.01,47448.41,47078.03,12672.44584707
